Hora,Tempt
0,11.888333
1,10.953333
2,10.161667
3,9.465
4,8.953333
5,8.606667
6,8.531667
7,9.051667
8,11.641667
9,14.298333
10,16.258333
11,17.811667
12,18.396667
13,19.185
14,19.596667
15,19.61
16,20.09
17,20.236667
18,20.583333
19,20.611667
20,19.59
21,18.05
22,16.088333
23,15.055
